field_api_name,file,line_no,content
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempTriggerHandler.cls,1887,"            planKey = rec.BrandCode__c.left(4) + rec.PartnerCode__c + rec.PlanID__c;"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempTriggerHandler.cls,2137,"        if(!String.isBlank(rec.BrandCode__c) && !String.isBlank(rec.PartnerCode__c) && !String.isBlank(rec.PlanID__c)){"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempTriggerHandler.cls,2138,"            planKey = rec.BrandCode__c.left(4) + rec.PartnerCode__c + rec.PlanID__c;"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempTriggerHandlerTest.cls,245,"        appBulkTestData.PartnerCode__c = '9876';"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempTriggerHandlerTest.cls,500,"        partner.PartnerCode__c = '0000000099';"
PartnerCode__c,force-app/main/default/classes/ApplicationBulkTempTriggerHandlerTest.cls,586,"        appBulk.PartnerCode__c = '0000000099';"
PartnerCode__c,force-app/main/default/classes/ApplicationDetailTriggerHandler.cls,1076,"            newCase.PartnerCode__c = parent.PartnerCode__c;"
PartnerCode__c,force-app/main/default/classes/ApplicationDetailTriggerHandler.cls,1873,"                     , PartnerCode__c"
PartnerCode__c,force-app/main/default/classes/ApplicationInsertBatchTest.cls,123,"            PartnerCode__c='0000001234',"
PartnerCode__c,force-app/main/default/classes/ApplicationOfIUCImportControllerTest.cls,216,"        rtnPartner.PartnerCode__c = '0000000006';"
PartnerCode__c,force-app/main/default/classes/ApplicationOptionBulkTempTriggerHandler.cls,25,"        parentRecordList = [select id,IsError__c,ErrorDetail__c,InsertByVF__c,PartnerCode__c,PlanID__c,BrandCode__c from ApplicationBulkTemp__c where id in :parentIds];"
PartnerCode__c,force-app/main/default/classes/ApplicationOptionBulkTempTriggerHandler.cls,37,"            uniqueKeyList.add(appBulkTemp.PartnerCode__c + appBulkTemp.PlanID__c);"
PartnerCode__c,force-app/main/default/classes/ApplicationOptionBulkTempTriggerHandler.cls,63,"                String planKey = RetailerCode + parent.PartnerCode__c + parent.PlanID__c;"
PartnerCode__c,force-app/main/default/classes/ApplicationTriggerHandler.cls,11,"            // List<Partner__c> iuc = [SELECT Id FROM Partner__c WHERE PartnerCode__c = '0000000006'];"
PartnerCode__c,force-app/main/default/classes/ApplicationTriggerHandlerTest.cls,218,"            PartnerCode__c= '0000001234',"
PartnerCode__c,force-app/main/default/classes/AppOptionBulkTempTriggerHandlerTest.cls,109,"        partner.PartnerCode__c = '0000000099';"
PartnerCode__c,force-app/main/default/classes/AppOptionBulkTempTriggerHandlerTest.cls,198,"        appBulk.PartnerCode__c = '0000000099';"
PartnerCode__c,force-app/main/default/classes/BillDetailAmountCalculationBatchTest.cls,10,"            PartnerCode__c= '0000001234',"
PartnerCode__c,force-app/main/default/classes/BillDetailAmountCalculationBatchTest.cls,195,"            ,PartnerCode__c = '0000001234'"
PartnerCode__c,force-app/main/default/classes/BillDetailCleanupBatchTest.cls,8,"            PartnerCode__c= '0000001234',"
PartnerCode__c,force-app/main/default/classes/BillDetailDeleteBatchTest.cls,14,"            PartnerCode__c = '0000001234',"
PartnerCode__c,force-app/main/default/classes/BillSummaryDataCreateBatch.cls,153,"            billPrintSum.PartnerCode__c = setText(billSum.Bill_PartnerCode__c);                                         // パートナーコード"
PartnerCode__c,force-app/main/default/classes/BillSummaryDataCreateBatchTest.cls,9,"            PartnerCode__c = '0000001234',"
PartnerCode__c,force-app/main/default/classes/BillSummaryTriggerHandlerTest.cls,12,"            PartnerCode__c= '0000000000',"
PartnerCode__c,force-app/main/default/classes/BillSummaryTriggerHandlerTest.cls,91,"        string key='3_'+billingCustomer.PartnerCode__c;"
PartnerCode__c,force-app/main/default/classes/BillTransferDataCreateControllerTest.cls,9,"            PartnerCode__c= '0000000000',"
PartnerCode__c,force-app/main/default/classes/BillTransferDataCreateControllerTest.cls,88,"        string key='3_'+billingCustomer.PartnerCode__c;"
PartnerCode__c,force-app/main/default/classes/CancellAndRiminderReportCreateBatchTest.cls,76,"        partner.PartnerCode__c = '0000000001';"
PartnerCode__c,force-app/main/default/classes/CancellAndRiminderReportCreateBatchTest.cls,679,"        testPartner.PartnerCode__c= '0000000015';"
PartnerCode__c,force-app/main/default/classes/CancellationAndRiminderReportCreateBatch.cls,35,"        query += ',PartnerCode__c ';                           //パートナーコード"
PartnerCode__c,force-app/main/default/classes/CancellationAndRiminderReportCreateBatch.cls,1156,"        if(billCustomer.PartnerCode__c == '0000000001'){"
PartnerCode__c,force-app/main/default/classes/CancellationAndRiminderReportCreateBatch.cls,1203,"            if(billCustomer.PartnerCode__c == '0000000001'){"
PartnerCode__c,force-app/main/default/classes/CancellationAndRiminderReportCreateBatch.cls,1213,"            if(billCustomer.PartnerCode__c == '0000000001'){"
PartnerCode__c,force-app/main/default/classes/CancellationAndRiminderReportCreateBatch.cls,1258,"        if(billCustomer.PartnerCode__c == '0000000001'){"
PartnerCode__c,force-app/main/default/classes/CancellationRequestCreateBatchTest.cls,13,"                p.PartnerCode__c = 'test010001';"
PartnerCode__c,force-app/main/default/classes/CancellationRequestCreateTest.cls,16,"        p.PartnerCode__c = 'test010001';"
PartnerCode__c,force-app/main/default/classes/CancellationRequestImportPageTest.cls,319,"        p.PartnerCode__c = 'test010001';"
PartnerCode__c,force-app/main/default/classes/ChangeRequestBatchTest.cls,212,"                                            PartnerCode__c = '0000000014',"
PartnerCode__c,force-app/main/default/classes/ConsistencyCheckSFAccountBatch.cls,106,"					//'PartnerCode__c' => 'PartnerCode__c',  //ENEXLS-1887"
PartnerCode__c,force-app/main/default/classes/ConsistencyCheckSFAccountBatchTest.cls,189,"            ,PartnerCode__c = '0123456789'"
PartnerCode__c,force-app/main/default/classes/ConsistencyCheckSFBillingBatch.cls,80,"//					'PartnerCode__c'  => 'PartnerCode__c',							 // 【SF請求先情報】パートナーコード 【EC請求先情報】パートナーコード  //ENEXLS-1887"
PartnerCode__c,force-app/main/default/classes/ConsistencyCheckSFBillingBatchTest.cls,102,"            ,PartnerCode__c = '0123456789'"
PartnerCode__c,force-app/main/default/classes/ConsistencyCheckSFCustomerProductsBatch.cls,56,"                    //'PartnerCode__c' => 'PartnerCode__c',  //ENEXLS-1887"
PartnerCode__c,force-app/main/default/classes/ConsistencyCheckSFCustomerProductsTest.cls,166,"            ,PartnerCode__c = '0000000099'"
PartnerCode__c,force-app/main/default/classes/ConsistencyCheckSFCustomerProductsTest.cls,297,"            ,PartnerCode__c = '0000000099'"
PartnerCode__c,force-app/main/default/classes/ConsistencyCheckSFCustomerProductsTest.cls,409,"            ,PartnerCode__c = '0000000099'"
PartnerCode__c,force-app/main/default/classes/ConsistencyCheckSFServiceLocationBatch.cls,87,"					//'PartnerCode__c' => 'PartnerCode__c',  //ENEXLS-1887"
PartnerCode__c,force-app/main/default/classes/ConsistencyCheckSFServiceLocationTest.cls,143,"            ,PartnerCode__c = '0123456789'"
PartnerCode__c,force-app/main/default/classes/CreateECSLocationAndSMonthly.cls,240,"        result.PartnerCode__c = trg.PartnerCode__c;                                                                            //パートナーコード"
PartnerCode__c,force-app/main/default/classes/CreateECSLocationAndSMonthly.cls,365,"        result.PartnerCode__c = trg.PartnerCode__c;                                                                                                                             //パートナーコード"
PartnerCode__c,force-app/main/default/classes/CreateECSLocationAndSMonthlyTest.cls,31,"        singleRec.PartnerCode__c = '0000000099';"
PartnerCode__c,force-app/main/default/classes/CreateECSLocationAndSMonthlyTest.cls,57,"            multiRec.PartnerCode__c = '0000000099';"
PartnerCode__c,force-app/main/default/classes/CreateSendErrMailTest.cls,131,"            testPartner.PartnerCode__c = '0000000099';"
PartnerCode__c,force-app/main/default/classes/CreateSFCustomerProducts.cls,358,"                String codeMasterKey = '1' + '_' + ec.PartnerCode__c + '_' + ec.ProductId__c;"
PartnerCode__c,force-app/main/default/classes/CreateSFCustomerProductsAllRecords.cls,321,"                String codeMasterKey = '1' + '_' + ec.PartnerCode__c + '_' + ec.PlanId__c;"
PartnerCode__c,force-app/main/default/classes/CreateSFCustomerProductsAllRecordsTest.cls,155,"        testPartner.PartnerCode__c = '0000000099';"
PartnerCode__c,force-app/main/default/classes/CreateSFCustomerProductsAllRecordsTest.cls,297,"        testECCustomProduct.PartnerCode__c = '0000000099';"
PartnerCode__c,force-app/main/default/classes/CreateSFCustomerProductsTest.cls,155,"        testPartner.PartnerCode__c = '0000000099';"
PartnerCode__c,force-app/main/default/classes/CreateSFCustomerProductsTest.cls,298,"        testECCustomProduct.PartnerCode__c = '0000000099';"
PartnerCode__c,force-app/main/default/classes/CreateTransferRequestFormBTBatchTest.cls,1020,"            ptn1.PartnerCode__c = '0000000001';"
PartnerCode__c,force-app/main/default/classes/CreateTransferRequestFormBTBatchTest.cls,1030,"            ptn2.PartnerCode__c = '0000000002';"
PartnerCode__c,force-app/main/default/classes/CreditCardPaymentNGReportCreateBatch.cls,51,"        query += ' ,BillingCustomer__r.PartnerCode__c';                           //パートナーコード"
PartnerCode__c,force-app/main/default/classes/CreditCardPaymentNGReportCreateBatchTest.cls,284,"        testPartner.PartnerCode__c= '0000000015';"
PartnerCode__c,force-app/main/default/classes/CreditRegistrationFinishCtrlTest.cls,88,"        partner.PartnerCode__c = '0000001234';"
PartnerCode__c,force-app/main/default/classes/CreditRegistrationTest.cls,66,"        partner.PartnerCode__c = '0000001234';"
PartnerCode__c,force-app/main/default/classes/csvOpeningGuidePrintDataController.cls,41,"                                                              PartnerCode__c, OpeningGuide_Broker__c, Service__r.Id, Service__r.isOpeningGuidePrintCount__c"
PartnerCode__c,force-app/main/default/classes/csvOpeningGuidePrintDataController.cls,65,"            line += '\""' + setText(customProduct.PartnerCode__c) + '\""' + ',';"
PartnerCode__c,force-app/main/default/classes/CsvOpeningGuidePrintDataControllerTest.cls,7,"            PartnerCode__c= '0000000000',"
PartnerCode__c,force-app/main/default/classes/CsvOpeningGuidePrintDataControllerTest.cls,55,"        string key='3_'+billingCustomer.PartnerCode__c;"
PartnerCode__c,force-app/main/default/classes/CustomerProductsDeleteBatchTest.cls,149,"        testPartner.PartnerCode__c = '0000000099';"
PartnerCode__c,force-app/main/default/classes/CustomerProductsDeleteBatchTest.cls,291,"        testECCustomProduct.PartnerCode__c = '0000000099';"
PartnerCode__c,force-app/main/default/classes/CustomerProductsTriggerHandler.cls,155,"        string key='1_'+target.PartnerCode__c+'_'+target.PlanID__c;"
PartnerCode__c,force-app/main/default/classes/CustomerProductsTriggerHandler.cls,157,"        system.debug('++target.PartnerCode__c++' + target.PartnerCode__c);"
PartnerCode__c,force-app/main/default/classes/CustomerProductsTriggerHandler.cls,169,"        system.debug('++PartnerCode__c++' + CodeMap.get(key));"
PartnerCode__c,force-app/main/default/classes/CustomerProductsTriggerHandler.cls,179,"        //target.Plan__r = new CodeMaster__c(Uniquekey__c = '1_' + target.PartnerCode__c + '_' +  target.PLANID__C);"
PartnerCode__c,force-app/main/default/classes/CustomerProductsTriggerHandlerTest.cls,11,"        Partner__c Partner=new Partner__c(PartnerCode__c= '0000001234',"
PartnerCode__c,force-app/main/default/classes/CustomerProductsTriggerHandlerTest.cls,128,"        Partner__c Partner=new Partner__c(PartnerCode__c= '0000001234',"
PartnerCode__c,force-app/main/default/classes/ECBulkInsertBatch.cls,36,"        query += ', Application__r.PartnerCode__c'; //申込　パートナーコード"
PartnerCode__c,force-app/main/default/classes/ECBulkInsertBatch.cls,468,"        newRec.PartnerCode__c = target.Application__r.PartnerCode__c; //パートナーコード"
PartnerCode__c,force-app/main/default/classes/ECBulkInsertBatch.cls,478,"        newRec.DealerCode__c = target.Application__r.PartnerCode__c;//取扱店コード"
PartnerCode__c,force-app/main/default/classes/ECBulkInsertBatchTest.cls,178,"        Partner__c Partner=new Partner__c(PartnerCode__c= '0000000002',"
PartnerCode__c,force-app/main/default/classes/ECBulkInsertTriggerHandlerTest.cls,52,"        partner.PartnerCode__c = '0000001234';"
PartnerCode__c,force-app/main/default/classes/ECBulkInsertTriggerHandlerTest.cls,203,"        appBulk.PartnerCode__c = '0000000099';"
PartnerCode__c,force-app/main/default/classes/EquipmentInformationCheckTest.cls,25,"            PartnerCode__c= '0000001234',"
PartnerCode__c,force-app/main/default/classes/ForcedCancellationCancelControllerTest.cls,473,"        p.PartnerCode__c = 'test010001';"
PartnerCode__c,force-app/main/default/classes/MasterDataCreateControllerTest.cls,42,"            PartnerCode__c = 'P000000000',"
PartnerCode__c,force-app/main/default/classes/MasterDataCreateControllerTest.cls,70,"            PartnerCode__c = '0000000000',"
PartnerCode__c,force-app/main/default/classes/MasterDataDownloadClaiminfo.cls,104,"                query += ', PartnerCode__c';"
PartnerCode__c,force-app/main/default/classes/MasterDataDownloadClaiminfo.cls,183,"                query += ', PartnerCode__c';"
PartnerCode__c,force-app/main/default/classes/MasterDataDownloadClaiminfo.cls,347,"        dataSectionList.add(ecbillcus.PartnerCode__c);"
PartnerCode__c,force-app/main/default/classes/MasterDataDownloadClaiminfo.cls,423,"            masterDownload.FileName__c = ecbillcus.BrandCode__c + '_' + ecbillcus.PartnerCode__c + '_CLAIMINFO_T_' + dt + '.csv';"
PartnerCode__c,force-app/main/default/classes/MasterDataDownloadClaiminfoTest.cls,43,"            PartnerCode__c = 'P000000000',"
PartnerCode__c,force-app/main/default/classes/MasterDataDownloadCustomer.cls,99,"                                                            PartnerCode__c,"
